beta,avg_plaq,plaq_var,avg_sus,sus_var,binder_cum,binder_var
0.43748,0.491482,2.3264e-08,0.000610818,3.57206e-11,-0.135142,0.000529242
0.43749,0.491505,2.32995e-08,0.000611009,3.58607e-11,-0.135368,0.000531752
0.4375,0.491528,2.3335e-08,0.0006112,3.60016e-11,-0.135594,0.000534271
0.43751,0.491551,2.33708e-08,0.000611391,3.61433e-11,-0.135821,0.000536801
0.43752,0.491573,2.34067e-08,0.000611582,3.62858e-11,-0.136049,0.000539341
0.43753,0.491596,2.34428e-08,0.000611774,3.6429e-11,-0.136277,0.000541892
0.43754,0.491619,2.34791e-08,0.000611965,3.6573e-11,-0.136506,0.000544453
0.43755,0.491642,2.35155e-08,0.000612157,3.67178e-11,-0.136735,0.000547024
0.43756,0.491665,2.35521e-08,0.000612349,3.68634e-11,-0.136965,0.000549606
0.43757,0.491688,2.35889e-08,0.000612542,3.70098e-11,-0.137195,0.000552198
0.43758,0.491711,2.36259e-08,0.000612734,3.7157e-11,-0.137426,0.000554801
0.43759,0.491734,2.3663e-08,0.000612927,3.73051e-11,-0.137658,0.000557414
0.4376,0.491757,2.37004e-08,0.00061312,3.74539e-11,-0.13789,0.000560037
0.43761,0.49178,2.37379e-08,0.000613313,3.76035e-11,-0.138123,0.000562671
0.43762,0.491803,2.37755e-08,0.000613507,3.7754e-11,-0.138356,0.000565316
0.43763,0.491826,2.38134e-08,0.0006137,3.79053e-11,-0.13859,0.000567971
0.43764,0.491849,2.38514e-08,0.000613894,3.80574e-11,-0.138824,0.000570637
0.43765,0.491872,2.38897e-08,0.000614088,3.82103e-11,-0.139059,0.000573313
0.43766,0.491895,2.39281e-08,0.000614283,3.83641e-11,-0.139294,0.000575999
0.43767,0.491918,2.39666e-08,0.000614477,3.85188e-11,-0.13953,0.000578697
0.43768,0.491941,2.40054e-08,0.000614672,3.86743e-11,-0.139767,0.000581404
0.43769,0.491964,2.40444e-08,0.000614867,3.88306e-11,-0.140004,0.000584123
0.4377,0.491987,2.40835e-08,0.000615062,3.89878e-11,-0.140242,0.000586852
0.43771,0.492011,2.41228e-08,0.000615257,3.91459e-11,-0.14048,0.000589591
0.43772,0.492034,2.41623e-08,0.000615453,3.93048e-11,-0.140719,0.000592342
0.43773,0.492057,2.42021e-08,0.000615649,3.94647e-11,-0.140959,0.000595102
0.43774,0.49208,2.42419e-08,0.000615845,3.96254e-11,-0.141199,0.000597874
0.43775,0.492357,2.22377e-08,0.000619225,2.60382e-11,-0.216766,0.00326383
0.43776,0.49238,2.22549e-08,0.000619457,2.62381e-11,-0.217362,0.00328212
0.43777,0.492403,2.22721e-08,0.000619689,2.64402e-11,-0.217961,0.00330044
0.43778,0.492427,2.22895e-08,0.000619922,2.66446e-11,-0.218562,0.00331877
0.43779,0.49245,2.2307e-08,0.000620155,2.68512e-11,-0.219166,0.00333712
0.4378,0.492473,2.23246e-08,0.000620388,2.70601e-11,-0.219774,0.00335548
0.43781,0.492496,2.23423e-08,0.000620622,2.72712e-11,-0.220384,0.00337385
0.43782,0.49252,2.23601e-08,0.000620856,2.74848e-11,-0.220997,0.00339224
0.43783,0.492543,2.2378e-08,0.000621091,2.77006e-11,-0.221613,0.00341064
